id,title,text,author,source,date,label
17,Electric Vehicles Sales Soar Worldwide,Son question strategy yard then culture. ,Daniel Obrien,"Rocha, King and Hicks",7/20/2024,REAL
18,Secret Society Controls Weather,Summer other term require wind paper.,Jeffrey Moody,Olson PLC,11/26/2023,FAKE
19,Advances in AI Transform Healthcare,Start enter study religious get bring.,Carolyn Rivers,"Roy, Hanna and Clark",8/11/2024,REAL
20,Medical Community Supports New Guidelines,Five structure least policy even discover. ,Mr. Matthew Schmidt MD,Rowland Inc,11/11/2023,REAL
21,Scientists Discover New Exoplanet,Mean girl state dark. Republican school so drop bar.,Melissa Lynch,Harrison-Davis,7/3/2023,REAL
22,NASA Announces New Moon Mission,Break professor open sing later. ,Joseph Reyes,Bird-Johnston,1/14/2025,REAL
23,Stock Market Hits Record High,Along campaign threat compare down. ,Paul Knox,Castillo PLC,7/7/2024,REAL
24,Atlantis Found in Pacific Ocean,Hard size add character reason study work investment. ,Stacy Davidson,Martin-Johnson,9/22/2023,FAKE
25,Atlantis Found in Pacific Ocean,Couple nation agree education son member the.,Arthur Johnson,Clark-Dorsey,3/1/2024,FAKE
26,Time Traveler Arrested for Insider Trading,Ready teacher car go church it. ,Erika Williams,"Lang, Lindsey and Townsend",2/3/2024,FAKE
27,NASA Announces New Moon Mission,Cause relationship cold believe night source. ,Kelly Fuller,Palmer LLC,2/13/2024,REAL
28,Breakthrough in Cancer Research,Play to American thus. Movement stock subject good too find. ,Stephanie Young,Mueller-Gonzalez,5/27/2023,REAL
29,Breakthrough in Cancer Research,Not would quite against summer.,Cheryl Holmes,Patel Inc,5/10/2024,REAL
30,Scientists Confirm Earth is Flat,Investment letter until authority really nearly response.,Katherine Cruz,"Frank, Reynolds and Fitzpatrick",6/11/2023,FAKE
31,Medical Community Supports New Guidelines,Compare social probably hold. Enjoy majority check card front down magazine.,Michael Kelley,"Forbes, Watson and Singh",7/15/2024,REAL
32,Invisibility Cloak Finally Invented,Shoulder stock finish easy section. Blue a trip. ,Shawn Nunez,"Huang, Rodriguez and Lee",12/18/2023,FAKE
33,COVID-19 Vaccination Rates Increase,Everyone sea often indicate. Prove miss every attorney into despite. ,Kelsey Brown,"Frey, Long and Evans",3/20/2025,REAL
34,Government Hiding Free Energy Technology,Outside table election down. Become upon blue thank TV beat. ,Mrs. Jennifer Hinton DVM,Ballard Inc,4/10/2024,FAKE
35,Time Traveler Arrested for Insider Trading,Line budget sea claim officer include. ,James Brown,"White, Brooks and Friedman",12/22/2023,FAKE
36,COVID-19 Vaccination Rates Increase,Hospital daughter experience down. ,Heidi Young,Simmons LLC,2/1/2025,REAL
37,Atlantis Found in Pacific Ocean,Team central the school fund. My them trouble.,Dustin Dorsey,Smith LLC,12/26/2024,FAKE
38,Atlantis Found in Pacific Ocean,Region tend control car admit.,Tracy Jenkins,"Parker, Walsh and Hernandez",5/29/2024,FAKE
39,Alien Base Found Under Antarctica,Try campaign consumer dark tough me should glass.,Steven Thompson,Boyd-Lin,6/5/2023,FAKE
40,Government Hiding Free Energy Technology,Network during one opportunity ready. Perhaps degree often.,David Gordon,Ramirez-Hopkins,7/31/2024,FAKE
41,Alien Base Found Under Antarctica,Surface lead save. Under hard turn idea Republican. ,Benjamin Rivera,Barnes Inc,7/22/2023,FAKE
42,Eating Ice Cream Cures Diabetes,Result person bank investment character arm detail. Argue it own.,Jade Stark,Keller Ltd,8/12/2024,FAKE
43,Mind Reading Technology Released Secretly,Security form site no risk where. Off can camera painting assume board look great. ,Joshua Tran,Banks-Washington,2/17/2024,FAKE
44,Atlantis Found in Pacific Ocean,Kind by young provide air hair. ,Rebecca Mosley,Russell-Moran,6/12/2023,FAKE
45,Invisibility Cloak Finally Invented,What lay able she. Join game character once ahead. ,Rebecca Swanson,"Moran, Perez and Rodriguez",5/7/2025,FAKE
46,Advances in AI Transform Healthcare,Line sport learn whether suggest. Few table science side.,Mr. Edward Adams,Martin-Lopez,12/3/2023,REAL
47,Alien Base Found Under Antarctica,For else explain lead. Enter assume within real hold develop.,Jennifer Coleman,Duffy-Campbell,3/18/2025,FAKE
48,COVID-19 Vaccination Rates Increase,Behind material assume view. Money already bill pass. ,Hannah Nelson,"Jones, Mills and Conner",7/22/2024,REAL
49,Scientists Confirm Earth is Flat,Night hold claim follow environment low member book.,Alison Meadows,"Hughes, Johnson and Strong",1/20/2025,FAKE
50,Atlantis Found in Pacific Ocean,Whose yard popular far long. Popular test fine yeah.,Brian Day,Wiggins Ltd,11/27/2023,FAKE
51,Secret Society Controls Weather,Conference either together far back deal what student. ,Joseph Larsen,"Hunt, Foster and Young",9/18/2023,FAKE
52,Scientists Confirm Earth is Flat,Fall recent recently scene goal reach.,Joseph Burke,Dixon LLC,5/21/2023,FAKE
53,Medical Community Supports New Guidelines,Right far scientist table. Wish step large lot suddenly source.  ,Alex Cardenas,"Anderson, Jackson and Gibson",12/29/2023,REAL
54,Time Traveler Arrested for Insider Trading,Little expect would raise consumer set audience. ,John Brady,Johnson Inc,10/15/2023,FAKE
55,Time Traveler Arrested for Insider Trading,Capital treat medical. Care debate argue line. ,Patrick Sullivan,"Spencer, Bailey and Simmons",11/29/2023,FAKE
56,Scientists Discover New Exoplanet,Read up natural believe indeed guy. ,Walter Walton,"Contreras, Thornton and Stuart",2/23/2025,REAL
57,Stock Market Hits Record High,Course spring never themselves mean continue. ,Chelsey Reese,"Perez, Adams and Vega",10/30/2024,REAL
58,Climate Change Policies Strengthened,Deal the us keep clear. Television dog last.,Juan King,"Hammond, Gallagher and Anderson",6/10/2023,REAL
59,COVID-19 Vaccination Rates Increase,Quite government million. Nation dark marriage guess serious during.,John Clark,"Robinson, Elliott and Lopez",12/11/2023,REAL
60,NASA Announces New Moon Mission,Long four between letter unit thought piece. ,Eric Bradford,Lewis PLC,12/29/2023,REAL
61,Scientists Confirm Earth is Flat,A subject they similar and chance home particular. ,Christopher Tucker,Burns-Glenn,6/21/2024,FAKE
62,Cure for Aging Found in Remote Village,Finally draw determine check visit part central. Safe task purpose black. ,Theodore Montgomery DVM,Phillips Inc,7/18/2023,FAKE
63,Cure for Aging Found in Remote Village,Identify over respond maybe. Kind strong find plan. ,Anthony Mathis,Williams PLC,2/17/2025,FAKE
64,NASA Announces New Moon Mission,Image sure everybody visit hundred figure though. ,Robert Wilson,"Warner, Foster and Moore",2/23/2025,REAL
65,Eating Ice Cream Cures Diabetes,Skill environment you according do daughter voice. ,Kendra Mercado,"Molina, Willis and Evans",4/19/2025,FAKE
66,Alien Base Found Under Antarctica,Source where let actually American. ,Steven Evans,Morton Ltd,3/16/2025,FAKE
67,Time Traveler Arrested for Insider Trading,Increase discover appear serve trade benefit. ,Ashley Arnold,Byrd Group,2/2/2025,FAKE
68,Secret Society Controls Weather,Policy watch month back news should spring month.,Ashley Hamilton,"Price, Williams and Ramos",5/23/2023,FAKE
69,Medical Community Supports New Guidelines,Walk garden term appear arm see. ,Joshua Campbell,Phillips-Collins,6/17/2023,REAL
70,Government Hiding Free Energy Technology,Way we government evening. Form mission until provide even. ,Hayley Franco,Dixon PLC,1/16/2024,FAKE
